dt,open,high,low,close
2017-09-22 13:00:00,3611.34,3611.34,3565.08,3573.34
2017-09-22 14:00:00,3572.16,3633.7,3572.16,3600.01
2017-09-22 15:00:00,3600.01,3610.0,3509.79,3531.57
2017-09-22 16:00:00,3536.21,3586.69,3534.56,3568.0
2017-09-22 17:00:00,3568.0,3570.67,3531.01,3555.02
2017-09-22 18:00:00,3555.01,3575.0,3550.0,3558.95
2017-09-22 19:00:00,3558.57,3595.0,3558.31,3590.0
2017-09-22 20:00:00,3590.0,3629.0,3589.0,3614.55
2017-09-22 21:00:00,3616.0,3646.97,3581.7,3631.3
2017-09-22 22:00:00,3631.21,3649.52,3610.66,3617.88
2017-09-22 23:00:00,3617.88,3640.0,3605.0,3619.01
2017-09-23 00:00:00,3619.01,3624.57,3580.0,3609.12
2017-09-23 01:00:00,3609.13,3609.13,3580.0,3599.97
2017-09-23 02:00:00,3599.95,3644.0,3598.68,3640.26
2017-09-23 03:00:00,3640.26,3640.26,3618.21,3627.21
2017-09-23 04:00:00,3627.21,3714.81,3627.0,3708.79
2017-09-23 05:00:00,3708.79,3725.39,3685.0,3699.99
2017-09-23 06:00:00,3699.99,3719.99,3699.98,3710.47
2017-09-23 07:00:00,3710.47,3710.47,3700.99,3701.1
2017-09-23 08:00:00,3701.1,3749.76,3701.09,3741.16
2017-09-23 09:00:00,3741.04,3741.98,3720.0,3725.71
2017-09-23 10:00:00,3725.71,3769.76,3725.5,3769.76
2017-09-23 11:00:00,3769.95,3800.0,3751.57,3800.0
2017-09-23 12:00:00,3800.0,3818.89,3769.55,3781.99
2017-09-23 13:00:00,3781.99,3798.0,3735.55,3797.5
2017-09-23 14:00:00,3797.5,3799.71,3766.69,3784.47
2017-09-23 15:00:00,3784.47,3784.75,3722.73,3750.01
2017-09-23 16:00:00,3750.01,3777.56,3731.0,3777.54
2017-09-23 17:00:00,3777.54,3777.55,3736.92,3746.5
2017-09-23 18:00:00,3746.5,3769.39,3746.49,3754.26
2017-09-23 19:00:00,3754.26,3779.99,3747.21,3772.7
2017-09-23 20:00:00,3773.07,3779.99,3766.02,3779.14
2017-09-23 21:00:00,3779.14,3779.14,3740.77,3744.19
2017-09-23 22:00:00,3744.19,3759.43,3742.06,3755.99
2017-09-23 23:00:00,3755.99,3789.99,3755.98,3787.33
2017-09-24 00:00:00,3787.33,3789.36,3759.0,3759.01
2017-09-24 01:00:00,3759.01,3783.79,3755.54,3773.98
2017-09-24 02:00:00,3773.98,3774.02,3760.18,3773.01
2017-09-24 03:00:00,3773.01,3786.69,3772.54,3783.03
2017-09-24 04:00:00,3783.03,3783.59,3659.79,3688.7
2017-09-24 05:00:00,3688.71,3703.25,3655.0,3696.78
2017-09-24 06:00:00,3696.78,3703.24,3635.32,3644.42
2017-09-24 07:00:00,3644.42,3662.98,3630.01,3662.5
2017-09-24 08:00:00,3662.5,3679.01,3660.0,3669.4
2017-09-24 09:00:00,3669.36,3677.97,3655.5,3667.36
